fly position,center of mass,laser status
45.54,27.916,0
24.866,24.866,0
28.507,28.507,0
28.847,28.847,0
22.312,22.312,0
22.312,NaN,0
22.312,NaN,0
22.312,NaN,0
22.312,44.967,0
43.42,43.42,0
43.42,NaN,0
43.42,NaN,0
43.42,NaN,0
43.42,NaN,0
43.42,NaN,0
43.42,NaN,0
43.42,NaN,0
43.42,NaN,0
43.42,66.439,0
67.372,67.372,0
69.279,69.279,0
70.267,70.267,0
72.322,72.322,0
72.144,72.144,0
69.253,69.253,0
68.637,68.637,0
70.374,70.374,0
74.983,74.983,0
83.506,83.506,0
97.187,97.187,0
102.99,102.99,0
106.39,106.39,0
109.09,109.09,0
113.85,113.85,0
118.36,118.36,0
122.75,122.75,0
127.82,127.82,0
129.52,129.52,0
133.07,133.07,0
141.78,141.78,0
146.62,146.62,0
149.33,149.33,0
150.88,150.88,0
153.64,153.64,0
160.1,160.1,0
166.88,166.88,0
172.16,172.16,0
177.44,177.44,0
184.61,184.61,0
194.26,194.26,0
190.51,190.51,0
196.58,196.58,0
200.72,200.72,0
206.25,206.25,0
207.78,207.78,0
210.53,210.53,0
214.6,214.6,0
218.14,218.14,0
225.49,225.49,0
231.5,231.5,0
237.43,237.43,0
246.45,246.45,0
243.84,243.84,0
245.44,245.44,0
250.06,250.06,0
248.39,248.39,0
249.35,249.35,0
250.68,250.68,0
261.43,261.43,0
265.63,265.63,0
268.02,268.02,0
270.71,270.71,0
272.21,272.21,0
276.5,276.5,0
282.57,282.57,0
285.33,285.33,0
288.92,288.92,0
291.02,291.02,0
293.06,293.06,0
297.52,297.52,0
298.05,298.05,0
305.36,305.36,0
306.14,306.14,0
308.99,308.99,0
311.96,311.96,0
315.63,315.63,0
319.11,319.11,0
316.44,316.44,0
320.03,320.03,0
325.74,325.74,0
328.5,328.5,0
332.05,332.05,0
331.83,331.83,0
333,333,0
336.15,336.15,0
341.35,341.35,0
349.69,349.69,0
353.02,353.02,0
356.42,356.42,0
359.68,359.68,0
362.17,362.17,0
365.74,365.74,0
366.78,366.78,0
374.42,374.42,0
377.33,377.33,0
382.36,382.36,0
388.28,388.28,0
390.92,390.92,0
394.25,394.25,0
396.54,396.54,0
401.14,401.14,0
403.95,403.95,0
408.07,408.07,0
409.8,409.8,0
416.11,416.11,0
420.26,420.26,0
423.68,423.68,0
419.9,419.9,0
424.02,424.02,0
430.86,430.86,0
434.27,434.27,0
438.54,438.54,0
441.33,441.33,0
443.11,443.11,0
444.06,444.06,0
447.88,447.88,0
456.37,456.37,0
459.57,459.57,0
465.27,465.27,0
472.98,472.98,0
469,469,0
473.51,473.51,0
478.63,478.63,0
483.68,483.68,0
486.34,486.34,0
492.12,492.12,0
497.31,497.31,0
497.56,497.56,0
501.3,501.3,0
507.73,507.73,0
515.83,515.83,0
516.64,516.64,0
516.43,516.43,0
520.98,520.98,0
527.56,527.56,0
532.59,532.59,0
537.11,537.11,0
539.94,539.94,0
540.91,540.91,0
544.23,544.23,0
545.1,545.1,0
539.26,539.26,0
536.73,536.73,0
539.82,539.82,0
547.46,547.46,0
554.18,554.18,0
557.49,557.49,0
563.22,563.22,0
564.84,564.84,0
564.47,564.47,0
567,567,0
566.37,566.37,0
563.77,563.77,0
565.36,565.36,0
572.72,572.72,0
586.93,586.93,0
595.15,595.15,0
603.05,603.05,0
612.42,612.42,0
619.39,619.39,0
625.21,625.21,0
631.39,631.39,0
635.74,635.74,0
627.13,627.13,0
625.3,625.3,0
622.73,622.73,0
627.73,627.73,0
635.24,635.24,0
641.6,641.6,0
641.87,641.87,0
648.89,648.89,0
660.56,660.56,0
660,660,0
658.16,658.16,0
661.58,661.58,0
664.81,664.81,0
667.43,667.43,0
670.44,670.44,0
674.64,674.64,0
677.14,677.14,0
683.3,683.3,0
688.21,688.21,0
695.4,695.4,0
702.38,702.38,0
711.59,711.59,0
714.81,714.81,0
715.81,715.81,0
714.4,714.4,0
712.37,712.37,0
709.9,709.9,0
714.03,714.03,0
719.58,719.58,0
722.29,722.29,0
723.59,723.59,0
728.07,728.07,0
732.52,732.52,0
738.01,738.01,0
740.43,740.43,0
744.14,744.14,0
743.13,743.13,0
742.04,742.04,0
741.02,741.02,0
744.65,744.65,0
748.27,748.27,0
752.52,752.52,0
754.75,754.75,0
756.83,756.83,0
759.12,759.12,0
760.13,760.13,0
761.11,761.11,0
762.14,762.14,0
764.53,764.53,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,NaN,0
764.53,747.78,0
747.07,747.07,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,757.15,0
747.07,NaN,0
747.07,NaN,0
747.07,766.4,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,738.42,0
747.07,NaN,0
747.07,NaN,0
747.07,NaN,0
747.07,721.76,0
718.8,718.8,0
719.81,719.81,0
716.94,716.94,0
713.69,713.69,0
713.92,713.92,0
711.43,711.43,0
709.5,709.5,0
706.61,706.61,0
702.1,702.1,0
697.03,697.03,0
690.98,690.98,0
686.77,686.77,0
681.23,681.23,0
674.68,674.68,0
666.7,666.7,0
659.58,659.58,0
652.65,652.65,0
645.24,645.24,0
639.32,639.32,0
632.63,632.63,0
626.21,626.21,0
619.93,619.93,0
614.12,614.12,0
605.31,605.31,0
598.14,598.14,0
590.69,590.69,0
583.06,583.06,0
575.33,575.33,0
568.82,568.82,0
564.22,564.22,0
558.49,558.49,0
550.11,550.11,0
543.13,543.13,0
539.6,539.6,0
539.45,539.45,0
538.97,538.97,0
537.87,537.87,0
530.51,530.51,0
525.14,525.14,0
521.41,521.41,0
518.86,518.86,0
521.72,521.72,0
527.42,527.42,0
528.91,528.91,0
525.58,525.58,0
520.47,520.47,0
515.92,515.92,0
510.51,510.51,0
504.7,504.7,0
500.17,500.17,0
493.84,493.84,0
486.88,486.88,0
479.76,479.76,0
472.24,472.24,0
463.84,463.84,0
455.44,455.44,0
448,448,0
443.07,443.07,0
438.54,438.54,0
433.75,433.75,0
431.85,431.85,0
428.42,428.42,0
424.56,424.56,0
419.49,419.49,0
412,412,0
406.08,406.08,0
398.98,398.98,0
391.97,391.97,0
385.1,385.1,0
378.03,378.03,0
370.61,370.61,0
364.12,364.12,0
357.27,357.27,0
350.32,350.32,0
343.07,343.07,0
338.02,338.02,0
330.72,330.72,0
322.57,322.57,0
314.44,314.44,0
308.26,308.26,0
301.17,301.17,0
292.97,292.97,0
286.2,286.2,0
279.06,279.06,0
270.47,270.47,0
262.44,262.44,0
254.92,254.92,0
247.16,247.16,0
239.35,239.35,0
233.9,233.9,0
225.56,225.56,0
217.47,217.47,0
209.19,209.19,0
201.19,201.19,0
190.48,190.48,0
177.96,177.96,0
168.28,168.28,0
161.91,161.91,0
155.18,155.18,0
148.02,148.02,0
144.08,144.08,0
138.64,138.64,0
136.38,136.38,0
136.85,136.85,0
133.44,133.44,0
129.17,129.17,0
122.85,122.85,0
116.9,116.9,0
111.55,111.55,0
104.54,104.54,0
101.08,101.08,0
96.615,96.615,0
92.741,92.741,0
87.54,87.54,0
80.339,80.339,0
75.527,75.527,0
70.677,70.677,0
64.177,64.177,0
57.474,57.474,0
54.056,54.056,0
50.169,50.169,0
45.891,45.891,0
42.793,42.793,0
40.12,40.12,0
37.512,37.512,0
36.851,36.851,0
33.968,33.968,0
32.033,32.033,0
30.133,30.133,0
28.529,28.529,0
25.41,25.41,0
21.548,21.548,0
19.797,19.797,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,NaN,0
19.797,35.1,0
35.978,35.978,0
36.026,36.026,0
35.676,35.676,0
32.999,32.999,0
27.482,27.482,0
25.082,25.082,0
25.082,NaN,0
25.082,NaN,0
25.082,NaN,0
25.082,NaN,0
25.082,NaN,0
25.082,NaN,0
25.082,46.753,0
49.254,49.254,0
39.768,39.768,0
33.719,33.719,0
33.719,NaN,0
33.719,NaN,0
33.719,NaN,0
33.719,NaN,0
33.719,NaN,0
33.719,NaN,0
33.719,NaN,0
33.719,NaN,0
33.719,NaN,0
33.719,63.165,0
64.73,64.73,0
65.537,65.537,0
67.645,67.645,0
71.075,71.075,0
70.731,70.731,0
70.386,70.386,0
74.52,74.52,0
76.846,76.846,0
77.989,77.989,0
83.838,83.838,0
91.908,91.908,0
103.33,103.33,0
113.79,113.79,0
120.58,120.58,0
125.53,125.53,0
131.27,131.27,0
136.45,136.45,0
143.13,143.13,0
147.74,147.74,0
151.54,151.54,0
156.34,156.34,0
161.69,161.69,0
167.1,167.1,0
172.94,172.94,0
180.22,180.22,0
187.13,187.13,0
193.64,193.64,0
200.59,200.59,0
207.99,207.99,0
216.68,216.68,0
221.26,221.26,0
223.67,223.67,0
229.31,229.31,0
233.27,233.27,0
234.69,234.69,0
238.09,238.09,0
239.15,239.15,0
243.53,243.53,0
247.2,247.2,0
252.56,252.56,0
255.21,255.21,0
262.54,262.54,0
269.38,269.38,0
275.28,275.28,0
280.9,280.9,0
286.9,286.9,0
292.91,292.91,0
298.78,298.78,0
303.75,303.75,0
309.91,309.91,0
314.99,314.99,0
